Score;Time;Distance
-0.5840015;4.45321;1.118387
4.532245;1.820587;1.217721
4.289191;2.541245;0.4188791
0.4342745;4.139613;0.8576661
2.497264;2.858613;1.190339
3.126978;2.760096;0.901886
4.07219;2.601099;0.4837411
4.237811;2.080493;1.067469
3.604771;2.69997;0.6635262
2.965736;3.10088;0.5550025
