Score;Time;Distance
-11.96115;9.986407;1.325559
-22.23607;15.20121;1.222435
-33.93044;20.86409;1.468172
-15.77362;11.83702;1.399721
6.770551;0.7403098;1.165887
7.867548;0.8199646;0.3283489
-45.77051;27.27843;0.8090953
-64.78603;37.14429;0.3316248
-4.643764;6.317473;1.339211
-4.709655;6.820276;0.7127349
