Score;Time;Distance
-31.41934;20.25836;0.6017539
-68.01479;37.96048;1.395895
-2.719512;5.740348;0.8258771
-7.179226;7.620809;1.291739
-18.30146;12.93748;1.617669
-3.146113;5.903544;0.8926829
1.138774;3.85794;0.7635642
-12.31985;10.25969;1.200312
-26.14421;17.34187;0.9736453
-21.81251;15.43782;0.6245788
