Score;Time;Distance
3.737531;2.135092;1.328189
3.068196;2.538649;1.236337
7.876531;0.5208818;0.7211372
1.945085;3.601245;0.5682827
6.355944;0.5171942;1.739778
3.004337;3.101566;0.5283548
2.769711;3.221231;0.5252173
2.502146;3.299644;0.5990446
0.7176274;4.198405;0.5903747
4.509227;2.000469;0.9932226
